"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"A Total War Saga: THRONES OF BRITANNIA";"3 mai 2018";"44.99";"11867";"Action, Stratégie";"CREATIVE ASSEMBLY";"SEGA";"https://store.steampowered.com/app/712100/A_Total_War_Saga_THRONES_OF_BRITANNIA/?snr=1_7_7_230_150_78";"Nouveau venu de la série de jeux aux multiples récompenses, A Total War Saga: Thrones of Britannia combine batailles en temps réel et campagnes au tour par tour palpitantes, dans lesquelles Anglo-Saxons, Gaels et Vikings s'affrontent pour régner sur ces terres. Quel royaume bâtirez-vous ?"
"A Total War Saga: THRONES OF BRITANNIA";"3 mai 2018";"44.99";"11867";"Action, Stratégie";"Feral Interactive (Mac)";"SEGA";"https://store.steampowered.com/app/712100/A_Total_War_Saga_THRONES_OF_BRITANNIA/?snr=1_7_7_230_150_78";"Nouveau venu de la série de jeux aux multiples récompenses, A Total War Saga: Thrones of Britannia combine batailles en temps réel et campagnes au tour par tour palpitantes, dans lesquelles Anglo-Saxons, Gaels et Vikings s'affrontent pour régner sur ces terres. Quel royaume bâtirez-vous ?"
"A Total War Saga: THRONES OF BRITANNIA";"3 mai 2018";"44.99";"11867";"Action, Stratégie";"Feral Interactive (Linux)";"SEGA";"https://store.steampowered.com/app/712100/A_Total_War_Saga_THRONES_OF_BRITANNIA/?snr=1_7_7_230_150_78";"Nouveau venu de la série de jeux aux multiples récompenses, A Total War Saga: Thrones of Britannia combine batailles en temps réel et campagnes au tour par tour palpitantes, dans lesquelles Anglo-Saxons, Gaels et Vikings s'affrontent pour régner sur ces terres. Quel royaume bâtirez-vous ?"
"Valkyria Chronicles 4 Complete Edition";"25 sept. 2018";"62.99";"5435";"Action, RPG, Stratégie";"SEGA";"SEGA";"https://store.steampowered.com/app/790820/Valkyria_Chronicles_4_Complete_Edition/?snr=1_7_7_230_150_77";"Un continent réduit à feu et à sang par la guerre ! Le commandant Claude Wallace et ses amis d'enfance s'engagent dans un conflit impitoyable. Pourront-ils remporter la victoire face aux terribles blizzards, aux hordes de soldats impériaux et aux pouvoirs quasi divins des Valkyria ?"
"SimRail - The Railway Simulator";"13 déc. 2024";"44.99";"4509";"Simulation";"SimRail S.A.";"PlayWay S.A.";"https://store.steampowered.com/app/1422130/SimRail__The_Railway_Simulator/?snr=1_7_7_230_150_77";"SimRail est un nouveau simulateur ferroviaire avancé. Maîtriser l'UEM grande vitesse longue distance, les transports de marchandises lourdes et les trains de banlieue. Devenez répartiteur de train et contrôlez le trafic selon l'horaire ou coopérez avec d'autres joueurs en mode multijoueur."
"Loop Hero";"4 mars 2021";"19.49";"32668";"Indépendant, RPG, Stratégie";"Four Quarters";"Devolver Digital";"https://store.steampowered.com/app/1282730/Loop_Hero/?snr=1_7_7_230_150_77";"La Liche a précipité le monde dans une boucle temporelle et plongé ses habitants dans un chaos sans fin."
"LEGO® The Hobbit™";"8 avr. 2014";"19.99";"4640";"Action, Aventure";"Traveller's Tales";"Warner Bros. Interactive Entertainment";"https://store.steampowered.com/app/285160/LEGO_The_Hobbit/?snr=1_7_7_230_150_77";"Reprenez possession du Royaume perdu d'Erebor, brique par brique. Rejoignez Bilbon Sacquet, Gandalf, Thorïn et sa compagnie de nains dans une aventure épique à travers la Terre du Milieu"
"LEGO® The Hobbit™";"8 avr. 2014";"19.99";"4640";"Action, Aventure";"Feral Interactive (Mac)";"Warner Bros. Interactive Entertainment";"https://store.steampowered.com/app/285160/LEGO_The_Hobbit/?snr=1_7_7_230_150_77";"Reprenez possession du Royaume perdu d'Erebor, brique par brique. Rejoignez Bilbon Sacquet, Gandalf, Thorïn et sa compagnie de nains dans une aventure épique à travers la Terre du Milieu"
"Ships At Sea";"23 mai 2024";"32.5";"2080";"Simulation, Accès anticipé";"Misc Games";"Misc Games";"https://store.steampowered.com/app/1266540/Ships_At_Sea/?snr=1_7_7_230_150_77";"Ressentez l'excitation de naviguer sur différents navires. Accomplissez des tâches telles que l'opérateur de services, le transport de marchandises et la pêche commerciale en modes solo ou multijoueur tout en explorant le magnifique monde ouvert des îles norvégiennes. La mer est à portée de main !"
"Get To Work";"2 déc. 2024";"16.99";"2880";"Action, Aventure, Course automobile";"Isto Inc.";"Isto Inc.";"https://store.steampowered.com/app/2706170/Get_To_Work/?snr=1_7_7_230_150_77";"Vous êtes pauvre et chauve. Mettez-vous au travail."
"Tower Unite";"19 avr. 2025";"25.99";"15582";"Action, Aventure, Occasionnel, Indépendant, Massivement multijoueur, Course automobile";"PixelTail Games";"PixelTail Games";"https://store.steampowered.com/app/394690/Tower_Unite/?snr=1_7_7_230_150_77";"PLAY, CREATE, PARTY! Tower Unite is a community-based virtual world party game with online games, entertainment, activities, and absolutely NO microtransactions."
"Turing Complete";"2 oct. 2021";"22.79";"4499";"Simulation, Accès anticipé";"LevelHead";"LevelHead";"https://store.steampowered.com/app/1444480/Turing_Complete/?snr=1_7_7_230_150_77";"Apprends l'architecture d'un processeur avec les énigmes"
"The Room 4: Old Sins";"11 févr. 2021";"10.29";"16400";"Aventure";"Fireproof Games";"Fireproof Games";"https://store.steampowered.com/app/1361320/The_Room_4_Old_Sins/?snr=1_7_7_230_150_77";"La disparition soudaine d'un ingénieur ambitieux et de son épouse issue de la haute société suscite la recherche d'un mystérieux artefact. Cette traque mène au grenier de leur demeure où repose une vieille et curieuse maison de poupée. Quels sombres secrets se cachent entre ces murs ?"
"The Past Within";"2 nov. 2022";"7.79";"13520";"Aventure, Indépendant";"Rusty Lake";"Rusty Lake";"https://store.steampowered.com/app/1515210/The_Past_Within/?snr=1_7_7_230_150_77";"The Past Within est la nouvelle expérience en co-op de Rusty Lake ! Joue avec un ami en qui tu as toute confiance : l'un sera dans le Passé, l'autre dans le Futur. Observe et indique ce que tu vois autour de toi. Résous les puzzles et découvre le plan d'Albert Vanderboom."
"Distant Worlds 2";"10 mars 2022";"64.99";"2515";"Simulation, Stratégie";"CodeForce";"Slitherine Ltd.";"https://store.steampowered.com/app/1531540/Distant_Worlds_2/?snr=1_7_7_230_150_76";"Distant Worlds 2 is a vast, pausable real-time 4X space strategy game."
